"","Sex","First.Gen","Financial.Aid","Distance","Quaker","Athlete","Legacy","Num.Visits","Num.Virtual","Percent.Click","Interest.Area"
"1","M",0,1,147.678836311397,0,0,0,0,0,0.0185185185185185,"NatSci"
"2","F",0,1,16.648883218822,0,1,0,1,0,0.0769230769230769,"Arts"
"3","F",1,1,349.266472176168,0,0,0,0,0,0.043956043956044,"NatSci"
"4","F",1,1,906.286538359151,0,0,0,0,0,0.105263157894737,"SocSci"
"5","F",1,1,28.607607902656,0,0,0,0,0,0.0102040816326531,"NatSci"
"6","M",0,1,1189.33100215499,0,0,0,0,0,0.0909090909090909,"NatSci"
"7","M",1,1,2001.36159110889,0,0,0,0,0,0.0459770114942529,"NatSci"
"8","F",1,1,909.071418155324,0,0,0,0,0,0.0208333333333333,"NatSci"
"9","M",1,1,63.0165324737829,0,1,0,0,0,0.0217391304347826,"SocSci"
"10","M",0,1,77.4040335097228,0,1,0,0,1,0.12,"Undecided"
"11","M",0,1,981.591365804888,0,1,0,0,0,0,"NatSci"
"12","M",1,1,479.292523025942,0,1,0,2,0,0.45,"NatSci"
"13","F",0,1,206.302317249907,0,1,0,0,0,0.0416666666666667,"SocSci"
"14","F",0,1,178.775805322852,0,0,0,2,0,0.0789473684210526,"Arts"
"15","F",1,1,113.956744609465,0,0,0,1,0,0.0614035087719298,"Arts"
"16","F",0,1,413.722905709252,0,0,0,0,0,0.0472972972972973,"SocSci"
"17","M",0,1,4350.6870184915,0,0,0,0,1,0.0769230769230769,"NatSci"
"18","F",0,1,128.338474839245,0,0,0,0,0,0.037037037037037,"NatSci"
"19","M",1,1,754.186320934036,0,1,0,1,0,0.111111111111111,"NatSci"
"20","M",0,0,486.788462141757,0,1,0,1,0,0.0306122448979592,"NatSci"
"21","F",0,1,1908.0661006324,0,0,0,0,0,0.142857142857143,"SocSci"
"22","M",0,1,1078.07637517723,0,0,0,1,0,0.147058823529412,"SocSci"
"23","M",0,1,502.351768097761,0,1,0,0,0,0.032258064516129,"SocSci"
"24","F",1,1,128.887003716671,0,1,0,0,0,0.315789473684211,"NatSci"
"25","M",0,1,774.526483685011,0,1,0,0,0,0.0303030303030303,"SocSci"
"26","F",0,0,264.878097084494,0,1,0,0,0,0.0909090909090909,"NatSci"
"27","F",0,1,79.1022377056303,0,0,0,1,0,0.0769230769230769,"SocSci"
"28","F",0,1,67.820296597256,0,0,0,0,0,0.0625,"NatSci"
"29","M",1,0,111.345188039934,0,0,1,0,0,0.0363636363636364,"SocSci"
"30","F",0,1,125.498133943723,0,0,0,0,0,1,"Humanities"
"31","F",0,1,126.646213870462,0,0,0,1,0,0.0631578947368421,"Undecided"
"32","M",0,1,71.1236723294527,0,1,0,1,1,0.0483870967741935,"NatSci"
"33","F",0,1,1234.99769591496,0,1,0,1,0,0.181818181818182,"NatSci"
"34","F",1,1,148.37448956936,0,1,0,0,0,0.00900900900900901,"Arts"
"35","M",0,1,289.249363377841,0,1,0,0,0,0,"SocSci"
"36","F",1,1,206.195996629252,0,0,0,0,0,0,"SocSci"
"37","M",0,1,308.488689562073,0,1,1,0,0,0,"NatSci"
"38","F",0,1,4.55426419702403,0,0,0,0,0,0.0697674418604651,"Undecided"
"39","F",0,1,406.977147661729,0,0,0,0,0,0.0493827160493827,"NatSci"
"40","M",0,1,206.213588556535,0,0,0,1,0,0.0188679245283019,"SocSci"
"41","M",1,1,104.393497221445,0,1,0,0,0,0.02,"SocSci"
"42","F",0,0,727.358965136524,0,0,0,0,0,0,"NatSci"
"43","M",0,1,416.706173747249,0,1,1,0,0,0.166666666666667,"SocSci"
"44","M",0,0,603.941497368281,0,0,0,1,0,0.08,"SocSci"
"45","M",1,1,918.836509283057,0,0,0,1,0,0.178571428571429,"SocSci"
"46","M",0,1,68.412836855356,0,1,0,0,0,0.0434782608695652,"NatSci"
"47","F",0,1,81.8291119921929,0,0,0,0,0,0.0444444444444444,"Inter"
"48","F",0,1,683.513358298428,0,0,0,0,0,0.0740740740740741,"Undecided"
"49","M",0,1,539.1884774052,0,0,0,1,0,0.032258064516129,"NatSci"
"50","F",1,1,803.837454366743,0,0,0,0,0,0.0338983050847458,"Inter"
"51","M",0,1,90.4500674414709,0,0,0,0,0,0.152173913043478,"NatSci"
"52","F",0,0,581.748288884977,0,0,0,0,1,0.00862068965517241,"SocSci"
"53","F",1,1,51.3534397381393,0,0,0,0,0,0.0909090909090909,"SocSci"
"54","F",0,0,619.695448991732,0,0,1,1,0,0.0416666666666667,"NatSci"
"55","M",0,1,215.722869133372,0,0,0,0,0,0,"SocSci"
"56","F",0,1,98.7966223886569,0,0,0,0,0,0.00884955752212389,"NatSci"
"57","F",0,0,54.1573094098413,0,0,0,0,0,0.0158730158730159,"NatSci"
"58","M",1,1,42.1803945837727,0,1,0,0,0,0.0238095238095238,"SocSci"
